time,temperature,density,fusion_power,E_field,control_signal
2.62,0.6984771460457995,1.2511565999882187e+19,2.3025661222520792e-05,0.0,31.43830544933189
2.63,0.6956888178358124,1.2521065347253977e+19,2.301456355778409e-05,0.0,31.49517844571111
2.64,0.692911620661752,1.2530564314659471e+19,2.3003443366083938e-05,0.0,31.552024005015515
2.65,0.6901455100884043,1.254006290211387e+19,2.29923007285888e-05,0.0,31.608842236774237
2.66,0.6873904418579411,1.2549561109632369e+19,2.2981135726345425e-05,0.0,31.66563325007914
2.67,0.6846463718892118,1.2559058937230166e+19,2.2969948440278764e-05,0.0,31.722397153586552
2.68,0.6819132562770386,1.2568556384922456e+19,2.2958738951191892e-05,0.0,31.779134055519087
2.69,0.6791910512915132,1.2578053452724437e+19,2.2947507339765965e-05,0.0,31.83584406366731
2.7,0.676479713377298,1.2587550140651303e+19,2.29362536865601e-05,0.0,31.892527285391523
2.71,0.6737791991529282,1.259704644871825e+19,2.2924978072011338e-05,0.0,31.949183827623386
2.72,0.6710894654101187,1.260654237694047e+19,2.2913680576434563e-05,0.0,32.005813796867734
2.73,0.6684104691130723,1.2616037925333158e+19,2.2902361280022424e-05,0.0,32.06241729920419
2.74,0.6657421673977912,1.2625533093911507e+19,2.2891020262845294e-05,0.0,32.11899444028898
2.75,0.663084517571391,1.263502788269071e+19,2.2879657604851174e-05,0.0,32.17554532535646
2.7600000000000002,0.6604374771114175,1.2644522291685956e+19,2.286827338586564e-05,0.0,32.23207005922093
2.77,0.6578010036651672,1.2654016320912437e+19,2.285686768559179e-05,0.0,32.28856874627832
2.7800000000000002,0.6551750550490086,1.2663509970385345e+19,2.2845440583610165e-05,0.0,32.3450414905077
2.79,0.6525595892477078,1.267300324011987e+19,2.2833992159378695e-05,0.0,32.40148839547315
2.8000000000000003,0.6499545644137562,1.2682496130131198e+19,2.2822522492232632e-05,0.0,32.45790956432528
2.81,0.6473599388667008,1.269198864043452e+19,2.281103166138451e-05,0.0,32.51430509980292
2.82,0.6447756710924777,1.2701480771045026e+19,2.2799519745924074e-05,0.0,32.57067510423478
2.83,0.6422017197427472,1.27109725219779e+19,2.2787986824818208e-05,0.0,32.627019679541085
2.84,0.6396380436342328,1.272046389324833e+19,2.2776432976910917e-05,0.0,32.68333892723516
2.85,0.6370846017480621,1.2729954884871502e+19,2.2764858280923232e-05,0.0,32.7396329484251
2.86,0.6345413532291105,1.2739445496862601e+19,2.2753262815453195e-05,0.0,32.795901843815365
2.87,0.6320082573853475,1.2748935729236814e+19,2.274164665897579e-05,0.0,32.852145713708445
